eval,test_acc,d_hidden,n_heads,n_anchors,lr,init_scale,readout_frac,weight_decay,epochs
0,0.06937033084311633,64,4,32,0.0003,3.0,0.25,1e-08,30
1,0.2102454642475987,64,2,128,0.0008425518534,4.8546510420041,0.6238178128676,8.54401e-08,80
5,0.27321237993596587,128,2,128,0.0006397044108,3.5173227353981,0.2777434697341,3.5796514e-06,40
8,0.3030949839914621,256,2,128,0.0008562571018,3.0993964299467,0.3374968320593,1.11078e-08,64
37,0.31590181430096054,64,2,256,0.0007749832570000002,2.0011544211491,0.2273268531087,9.73556e-07,51
57,0.46531483457844186,64,4,128,0.0008647303219000003,4.075316758582,0.1406542462586,3.231984999999997e-07,76
91,0.5570971184631803,64,2,256,0.0009248353676000004,2.1189530815101,0.138001385427,2.9180309999999987e-07,68
94,0.6168623265741728,256,2,64,0.0008654781771999997,3.1532462120027,0.1227374476805,1.1614869999999997e-07,73
115,0.6627534685165422,128,2,256,0.0009528710664999999,2.0741005766475,0.1758787987821,3.138496999999998e-07,71
